From,To
E9P8I0,URE2
P0CY12,MATA2
P0CY10,MATA1
P0CS91,SSC1
P42844,ZIM17
Q7LKB1,SUP35
P25491,YDJ1
P25294,SIS1
P10591,SSA1
P11484,SSB1
P0CE70,NFT1
P40073,SHO1
P38822,BZZ1
Q03195,RLI1
Q6Q7I0,SUP35
E9P9A0,YGR043C
P15019,TAL1
P0CS82,HAP1
P21242,PRE10
P38249,RPG1
P52489,PYK2
P32335,MSS51
P32461,DPH2
P53538,SSU72
Q06697,CDC73
P0CT05,PBI2
P13188,GLN4
P40509,SEC28
P23293,SGV1
E9P9C0,YNL086W
P40003,VAB2
P34078,LTV1
E9P9B2,YIL127C
P47143,ADO1
Q06071,BLS1
P53839,GOR1
Q12043,TGL5
P31787,ACB1
P0CI39,STE2
P29311,BMH1
P07270,PHO4
P09232,PRB1
P00447,SOD2
P53975,YNL019C
P40013,BIM1
Q02486,ABF2
E9P8H7,YNL088W
P32892,DRS1
Q7LMB5,YNL085W
P40312,CYB5
P14796,RPL40A
P14796,RPL40B
P53136,NSA1
Q7LM79,YNL082W
P0CD92,AQY1
P49018,GPI8
P43542,COS4
Q12328,TIM22
P54854,HXT15
P47186,MPH2
P47186,MPH3
P33754,SEC66
P40027,HVG1
P40027,YER039C-A
P38723,COS8
P38264,PHO88
P29465,CHS3
Q08601,MCA1
P0CF32,SDC25
P61864,RPL40A
P61864,RPL40B
P61864,RPS31
P61864,UBI4
Q06449,PIN3
P40450,BNR1
P43543,DDI2
P43543,DDI3
Q02821,SRP1
Q12489,YDL012C
P40439,IMA3
P40439,IMA4
P50861,RIB4
P32628,RAD23
P42221,PAU19
P42221,PAU21
P42221,PAU22
P36019,YPT53
P26448,BUB2
P0CD89,AQY2
P35203,CTF13
P04824,MEL1
P12954,SRS2
P21965,MCK1
P40152,YNL217W
P29295,HRR25
P19658,EXO70
P33332,SEC3
P89102,SEC5
P32855,SEC8
Q00245,RHO3
P04911,HTA1
P14737,RAD9
P36125,GMH1
P47102,GEA1
P53266,SHY1
P39103,COX14
P00427,COX6
P40452,COA1
P07256,COR1
P04037,COX4
P00424,COX5A
P07143,CYT1
P00401,COX1
P40086,COX15
P04710,AAC1
P07257,QCR2
P49686,NUP42
P00127,QCR6
P00420,COX3
P00410,COX2
Q08749,TIM18
P87108,TIM10
P00175,CYB2
P04840,POR1
P19073,CDC42
Q06648,GIC2
Q06407,RGA2
P25693,PCL2
P24867,PCL1
Q12477,PCL9
A6ZT25,TOM71
Q04922,MFB1
P52891,NUP84
Q99257,MEX67
P34232,MTR2
P53011,SEH1
P46673,NUP85
Q04491,SEC13
P22213,SLY1
P41834,UFE1
P16474,KAR2
P53324,SAY1
P32915,SEC61
A6ZYI3,IVY1
Q12255,NYV1
P27801,PEP3
P11491,PHO8
P18759,SEC18
Q12241,VAM3
P32912,VAM7
Q03308,VPS16
P20795,VPS33
Q04338,VTI1
Q12230,LSP1
Q03407,PKH1
Q12236,PKH2
P49687,NUP145
P36161,NUP133
P35729,NUP120
Q02630,NUP116
P40433,PFK26
Q00955,ACC1
Q08981,ACM1
Q04412,AGE1
P40529,AGE2
P40563,AIM21
P38080,AKL1
P54115,ALD6
P43633,ALK1
P47029,ALY2
Q99186,APM4
P53974,ARK1
P47117,ARP3
P53244,ART5
P48361,ASK10
Q12527,ATG11
Q06628,ATG13
P50944,AVT4
Q12365,BBP1
Q01389,BCK1
P33306,BCK2
P47113,BFA1
P34730,BMH2
P53858,BNI4
P53890,BNI5
P38041,BOI1
P39969,BOI2
P53958,BOP3
P48524,BUL1
Q03758,BUL2
P17555,SRV2
P04821,CDC25
P53197,CDH1
P38265,IML3
Q01649,CIK1
P27895,CIN8
Q12145,CMR3
P38892,CRG1
P15790,CKA1
P19454,CKA2
Q12734,CSR2
P08678,CYR1
Q05080,HOF1
Q07533,CYK3
P06634,DED1
Q03063,DIG1
Q03373,DIG2
P40059,DOT6
P38213,DSF2
P53063,RAI1
P53208,EAT1
P38167,ECM21
Q03653,EFR3
Q07872,ENT4
Q04660,ERB1
P32353,ERG3
Q03898,FIN1
P40020,FIR1
P40068,FLO8
P22007,RAM1
P53739,FPK1
Q03002,FRK1
P00358,TDH2
P00359,TDH3
P04386,GAL4
P43574,GAT1
Q01722,GCR2
Q12263,GIN4
P40036,GIP2
Q03016,GIP3
P39732,GIP4
Q04233,GIS4
P18494,GLN3
P40956,GTS1
P48566,MSB3
Q12753,HAA1
P38970,HAL5
Q05580,HEL2
Q12276,HER1
Q04429,HLR1
Q03213,HOT1
Q99332,FRT1
Q08732,HRK1
P10592,SSA2
P09435,SSA3
P22202,SSA4
P32464,HYM1
P43598,IGD1
P25605,ILV6
P32351,IMP2'
P53901,INN1
Q12271,INP53
P00817,IPP1
Q06554,IRC20
Q03361,JIP4
P47135,JSN1
P17119,KAR3
Q12494,KCS1
P20485,CKI1
P13185,KIN1
P13186,KIN2
Q01919,KIN4
P25341,KIN82
P28743,KIP2
P36004,KKQ8
P38691,KSP1
P38800,LAM4
P25587,LDB16
P04173,LEU2
P36016,LHS1
P25579,LRE1
P34239,LST4
P41910,MAF1
P32783,ABD1
P32354,MCM10
Q06567,MCP2
P53094,MDS3
P40469,MET18
P43638,MHP1
P27705,MIG1
P34072,MKS1
P32047,MLF3
P39016,MPT5
P21339,MSB1
Q05812,MSC3
P38590,MSG5
P33748,MSN2
P33749,MSN4
P53604,MSO1
P38994,MSS4
P30771,NAM7
P25293,NAP1
Q06389,FRQ1
P36003,NNK1
P22211,NPR1
Q04958,NTE1
P40010,NUG1
P39705,NUP60
P12695,LAT1
Q12451,OSH2
Q05518,PAL1
P37304,PAM1
P08018,PBS2
P53238,PEF1
P25360,PHO87
P39104,PIK1
P53252,PIL1
P32634,PMD1
P32598,GLC7
P38148,PPS1
P33329,PPZ2
P40494,PRK1
P28708,PRR1
P31374,PSK1
Q08217,PSK2
P50896,PSP1
P36002,PTK1
P47116,PTK2
P40048,PTP3
Q12221,PUF2
Q07807,PUF3
P36166,PXL1
P07259,URA2
Q12044,RCN2
P25611,RDS1
Q00816,REG1
Q06108,RGC1
P38741,RIM4
Q02805,ROD1
P43602,ROG3
P51862,ROM2
P25042,ROX1
P38766,RRM3
P05759,RPS31
P05750,RPS3
P39940,RSP5
P53330,RTT102
P32608,RTG2
P53289,RTS3
P17121,SAC7
P53969,SAM50
P39955,SAP1
P38814,SBE22
P48415,SEC16
P30619,SEC1
P34228,SEF1
Q04279,SEG1
P34250,SEG2
Q06058,SEI1
P20134,SFL1
P38200,SHE1
P11978,SIR4
P34226,SKT5
P32790,SLA1
Q12098,SLX4
Q04007,SND1
P06782,SNF1
P25357,SNT1
P40317,SOK1
P32380,SPC110
P33419,SPC29
Q03868,SPO71
P23615,SPT6
P36167,SRL3
P40150,SSB2
P24276,SSD1
P46679,STB2
P36085,STB6
P38198,STU1
P53598,LSC1
Q03088,SVL3
P43554,SWP82
Q06836,SYT1
P48606,RBL2
P40328,YTA6
Q08921,TCO89
P40045,TDA2
P36165,TGL4
P34219,TOD6
P32356,NTH1
P35172,NTH2
P34760,TSA1
P39538,UBP12
P39001,UME6
Q02354,UTP6
P25591,VAC17
P40463,VHS2
P34761,WHI3
Q07655,WHI4
P40489,XBP1
P14680,YAK1
Q3E7Y5,YBL111C
P38321,YBR225W
Q05497,YDR338C
P34225,YEL1
P50089,YGR237C
P38899,YHR218W
P38750,YHL008C
P38809,YHR097C
P40497,YIL092W
Q07895,YLR001C
Q99296,YLR149C
P54072,YLR152C
Q06251,YLR177W
P39523,YMR124W
P53719,YNR014W
P53757,YNR071C
Q12040,YOR283W
P34161,YOX1
Q12531,YPR015C
Q12152,YPL150W
Q12523,YPL247C
P32793,YSC84
Q06224,YSH1
Q06681,YSP2
P47043,ZAP1
P50111,ZDS1
P38307,DER1
Q05787,HRD3
Q08109,HRD1
P25694,CDC48
Q03714,USA1
Q04228,UBX2
Q99220,YOS9
P33755,NPL4
P53044,UFD1
Q12743,DFM1
P34223,SHP1
P38349,UBX7
P52490,UBC13
P40210,SIP5
P53152,MMS2
P40343,VPS27
P38753,HSE1
P40348,RFC2
P38629,RFC3
Q06679,UTP4
P40362,UTP18
P40363,YJL068C
P14907,NSP1
P40368,NUP82
P40414,TPM2
Q08748,YOR296W
P26570,PPZ1
P36076,CAB3
P38829,YHR122W
P19807,HNM1
P40474,QDR2
P32465,HXT1
P32568,SNQ2
P33302,PDR5
P35735,SFK1
P36027,MID2
P38234,RFS1
P50276,MUP1
Q02785,PDR12
Q03640,TCB3
Q06689,YLR413W
Q07824,TPO1
Q3E756,YBL029C-A
P40477,NUP159
P40064,NUP157
P38810,SFB3
P40482,SEC24
Q04410,GRH1
P40485,SLM1
P10823,GPA2
P33413,DUR3
P53278,YGR130C
P53283,TPO2
Q07651,FMP45
Q12335,PST2
P38328,ARC40
Q04217,ECM16
P40504,KTR7
P40513,MAM33
P38310,FTH1
P40528,SYG1
P22137,CHC1
P15496,IDI1
P40535,CST6
P08518,RPB2
P40540,EMC5
P0CY06,MATALPHA1
P10614,ERG11
P14359,SNA3
P38782,MED6
P38902,RPB11
P39543,SOP4
P47006,RPA34
Q02866,MUK1
Q03860,TVP15
Q04377,LCD1
Q05359,ERP1
Q06144,ORM2
Q06408,ARO10
Q99278,MED11
Q3E806,YOR316C-A
P40559,INP51
P25567,SRO9
P40561,SGN1
P32588,PUB1
P53316,YGR250C
P40016,RPN3
P40577,MND2
P40581,HYR1
P0C268,YBL039W-B
P38009,ADE17
P54783,ALO1
Q06451,TPO3
Q12462,PEX11
P40582,GTT1
P38756,TCD1
P54837,ERV25
Q12270,RBD2
P21304,PWP1
P40693,RLP7
P53874,UBP10
P40958,MAD2
Q8TGU5,YBR296C-A
P40961,PHB1
Q08979,KEL3
P0CX10,ERR1
P40993,SNM1
Q07843,IRC19
P10127,ADH4
P40994,ARF3
P41697,BUD6
P41806,VMA21
P32366,VMA6
P32563,VPH1
P32610,VMA8
P39111,VMA7
P41807,VMA13
P53262,VOA1
P41809,HKR1
Q04048,SYF1
P41896,TFG2
P35208,SPT10
P41912,SHR5
P41921,GLR1
P31412,VMA5
P41940,PSA1
P32324,EFT1
P32324,EFT2
P38636,ATX1
P41810,SEC26
P53338,MAL13
Q10740,LAP2
P42838,LEM3
P11076,ARF1
P32660,DNF1
P42842,EMW1
P42935,ELP2
Q02884,ELP4
Q3E840,KTI11
P42945,UTP10
P43497,CWP2
P25361,YCR043C
P22219,VPS15
P43550,DAK2
P43555,EMP47
P32798,COT1
P38142,YBR241C
P38166,SFT2
P38929,PMC1
P43621,RET2
P46989,ATG27
P53337,ERV29
Q04651,ERV41
Q12016,VPS68
P25656,CDC50
P43556,RGD2
Q12057,PIN2
P43561,FET5
P23202,URE2
P43586,LOC1
P39744,NOC2
Q06205,FPR4
Q08235,BRX1
P43587,YPI1
P36047,SDS22
P43603,LSB3
Q08412,CUE5
P43612,SAP155
P43613,ERJ5
P43639,CKB1
P38930,CKB2
P46675,STU2
P46682,APL6
Q08951,APL5
Q12114,CHS5
P46956,PHO86
P40207,YMR134W
P46963,CTK3
P46962,CTK2
P46965,SPC1
P21825,SEC62
P39727,ERV46
P32319,PEP1
P32913,VPS17
Q03730,YML018C
Q08826,SNX3
Q12116,TMS1
Q2V2P9,YDR119W-A
Q92331,VPS5
P32495,NHP2
P53131,PRP43
Q03525,TMA23
Q6Q547,NOP10
P47031,IML2
P47068,BBC1
P40518,ARC15
Q04439,MYO5
P25655,CDC39
P47093,LSM8
Q06406,LSM6
P47104,RAV1
P47120,LIA1
P34244,HSL1
P50873,MRK1
P47122,NPA3
P47138,JJJ3
P40487,DPH1
P47146,ABM1
P53271,COG2
Q3E776,YBR255C-A
P47149,NNF1
P06776,PDE2
P47154,STE24
P16603,NCP1
P47155,ILM1
Q04201,CUE4
P47158,IBA57
P48564,MRX6
Q8TGJ2,YNR075C-A
P47165,XPT1
P39968,VAC8
P47170,IML1
Q04049,RAD30
P48353,HLJ1
P52553,YKE2
P48363,PAC10
P53900,GIM3
Q04493,GIM5
P32445,RIM1
P48570,LYS20
Q12122,LYS21
P48837,NUP57
Q02199,NUP49
P38875,GPI16
P39012,GAA1
Q04080,GPI17
P25619,HSP30
P49573,CTR1
P49775,HNT2
P33298,RPT3
P50086,NAS6
P29366,BEM1
P50090,KEL2
P38853,KEL1
P50094,IMD4
P50095,IMD3
P50106,RPA14
P50109,PSP2
P50273,ATP22
P23585,HXT2
P30605,ITR1
P32487,LYP1
P38143,GPX2
P38196,FUI1
P39719,FLC2
P40260,MEP1
P53049,YOR1
P53139,YGL108C
P53388,DIP5
P53390,MEP3
P53832,WSC2
Q06170,YLR326W
Q08967,FLC1
Q12256,TPO4
P50278,SOL1
P50942,INP52
Q07622,ACK1
P51979,HFM1
P39958,GDI1
P51996,YPT32
P20434,RPB5
P52893,ALT1
Q03370,PEX29
Q06263,VTA1
P52917,VPS4
P53008,CWH41
Q6Q5K6,HUG1
P40965,MSH4
P53038,TEL2
P53040,TAF6
P53045,ERG25
P38353,SSH1
P40350,ALG5
Q04969,SPC2
Q06156,YCS4
P53053,COS12
P40340,YTA7
P53068,DOC1
P53112,PEX14
P33760,PEX6
P40155,PEX17
Q07418,PEX19
Q12329,HSP42
P33895,NUF2
P53119,HUL5
P38996,NAB3
P53125,ITC1
P43593,UBP6
Q03049,YDR541C
Q96VH3,YCL021W-A
P07278,BCY1
P53145,LSG1
P38344,REI1
Q02256,YVH1
P53751,YNR065C
P53154,GUP1
P38694,MSC7
P53166,MRH4
P26364,ADK2
P53168,DUO1
P53172,SDS23
P33892,GCN1
P53191,PIB2
Q02205,MEH1
P53198,ERP6
Q12450,ERP4
P53199,ERG26
P53223,CAX4
P38242,ALG14
P53235,YGR054W
P38263,VID24
P53849,GIS2
P53241,VHT1
P53250,TWF1
P25847,MSH2
P53257,TPC1
P53261,NOP7
P38779,CIC1
P53267,DAM1
P53276,UTP8
P38882,UTP9
Q04177,UTP5
Q04305,UTP15
P38695,HXT5
P53290,GTR2
P53295,RBG2
Q03768,GIR2
P53309,YAP1802
P25623,SYP1
P53319,GND2
P53327,SLH1
P36119,YKR023W
P35844,KES1
P53332,CAB4
P53335,PXR1
P32583,SRP40
P32500,NDC1
P38819,ERP5
Q99287,SEY1
P38084,BAP2
Q02774,SHR3
P53438,SOK2
P53550,DCP2
P25644,PAT1
P35732,DEF1
P39517,DHH1
P39998,EDC3
P40023,EDC2
P40070,LSM4
P45978,SCD6
P53829,CAF40
P57743,LSM3
Q07084,SSK1
P53599,SSK2
P53600,RET3
P32074,SEC21
P41811,SEC27
P53691,CPR6
P53297,PBP1
P53730,ALG12
P33204,ARC19
P53731,ARC35
P37370,VRP1
Q05933,ARC18
Q12446,LAS17
P53734,DBP6
P53741,BRE5
P53742,NOG2
Q12522,TIF6
P53819,YRF1-6
P38235,YBR053C
P53822,COS1
P06102,NOT3
P34909,MOT2
P39008,POP2
P53935,NST1
Q12514,NOT5
P53834,HCH1
P53843,IST1
P69771,DID2
P24783,DBP2
P24784,DBP1
P38998,LYS1
P53852,YNL247W
P53872,YNL190W
Q07500,NDE2
P53873,SWT21
P53877,IPI3
P53879,RHO5
P38634,SIC1
P53924,DMA2
P53927,NOP15
P53959,COG6
P40094,COG3
P54113,ADE16
P23542,AAT2
P54781,ERG5
P08964,MYO1
P21147,OLE1
Q12226,AYT1
P18411,FUN14
P22289,QCR9
P35180,TOM20
P38295,EHT1
P53206,YGR012W
Q08926,UIP4
Q3E6R5,YDR381C-A
P54785,MOT3
P53551,HHO1
P06197,PIS1
P17898,CPT1
P38992,SUR2
Q02896,YDC1
P54839,ERG13
P54858,DOS2
P17423,THR1
P54861,DNM1
P33327,GDH2
P54885,PRO2
P02309,HHF1
P02309,HHF2
P61830,HHT1
P61830,HHT2
P27999,RPB9
P32447,ASF1
Q12373,HIF1
P39929,SNF7
P80667,PEX13
Q12465,RAX2
Q00402,NUM1
Q00578,SSL2
P11986,INO1
P16965,STF2
P37012,PGM2
Q00582,GTR1
P38247,SLM4
P36000,APL2
Q00776,APM1
Q01080,RPA49
P20447,DBP3
Q01448,HPC2
Q01574,ACS1
P80235,YAT1
Q01896,ENA2
Q01939,RPT6
P33297,RPT5
P33299,RPT1
P40327,RPT2
P53549,RPT4
Q02046,MTD1
Q06411,SPP382
Q02100,SKO1
P34077,NIC96
Q06142,KAP95
Q02206,RSC4
Q02555,RNT1
Q02574,MEC3
P35179,SSS1
Q07844,RIX7
Q02629,NUP100
P06775,HIP1
P35206,CSG2
Q03697,YMD8
Q02775,SLU7
Q3E7A4,CMC2
P47976,CTH1
Q02784,GRX5
Q02793,SKI8
P20435,RPO26
Q02795,SWP1
P17260,KRE1
P25334,CPR4
P35196,RER2
P36024,SIS2
P36091,DCW1
P38993,FET3
P40471,AYR1
Q12127,CCW12
Q02796,LGE1
Q04868,ELP6
Q06706,IKI3
Q12361,GPR1
P38874,IKI1
Q02908,ELP3
Q02959,HOS3
P28795,PEX3
Q02969,PEX25
Q03029,SPO19
Q03944,VPS64
Q03148,SNZ1
Q03390,VPS60
Q03435,NHP10
Q03516,RSN1
Q03529,SCS7
Q03554,GOT1
P39010,AKR1
Q03557,HER2
Q12247,FYV7
P46951,YPP1
Q03687,ANY1
P09620,KEX1
P40335,PEP8
P53728,CPR8
Q03782,SNU56
Q03835,GRX3
P19146,ARF2
P32386,YBT1
P35845,SWH1
P36164,TVP38
Q06815,MRL1
Q07528,ATG20
Q03862,ARX1
Q03880,PKR1
Q03921,DOP1
P38116,ARL1
Q03956,RAV2
Q03957,CTK1
Q04031,RRP17
Q04052,ARO80
P47131,YJR085C
Q04120,TSA2
P40470,RRT14
Q12168,ACF2
Q04322,GYL1
Q04344,HNT1
Q04370,PEX12
Q04383,PLM2
P38623,RCK2
P40024,ARB1
Q3E772,LSO2
Q04396,LPP1
P40071,TMN3
P53066,YGL242C
P33750,SOF1
Q04500,UTP14
Q04638,ITT1
Q04792,GAD1
Q04839,GFD1
P39936,TIF4632
Q04949,DYN3
Q04991,FMP42
Q05022,RRP5
Q05031,DFG5
Q05166,ASM4
Q05471,SWR1
Q05515,SVF1
Q05521,DPP1
Q05543,RTT103
Q05568,PEX10
P50079,HSV2
Q05584,GLO2
Q05611,BSC2
Q05672,RBS1
Q08281,RTC1
Q05919,VPS38
Q06078,UTP21
P25635,PWP2
Q06098,ISR1
Q06137,YLR345W
P38426,TPS3
Q06146,YLR257W
Q05790,CRR1
Q06147,LCB5
Q06151,DCS1
Q06162,NKP2
Q06169,PEX30
Q06178,NMA1
Q06213,NUT2
Q06216,PIG1
Q06217,SMD2
P38783,FYV4
Q06344,ESF1
Q06490,THI22
P43562,YFL040W
Q06497,ANT1
Q06505,SPN1
Q06506,RRP9
Q06132,SGD1
Q06541,ARV1
Q06549,CDD1
Q06551,ERF2
Q06623,HDA3
Q06630,MHR1
Q06672,TSR2
Q06677,SWA2
Q06708,VAC14
P43601,ATG18
Q07688,YPD1
Q07457,BRE1
P47057,SNX4
Q07549,SNA4
P34110,VPS35
Q07623,NOP6
P17064,FCY2
P28321,YJU3
P36169,SKG1
P47072,YJL016W
P53885,MDG1
Q06179,FMP27
Q07657,SHS1
P32458,CDC11
Q07788,COS7
P33202,UFD4
P48231,TCB2
Q05942,RSA3
Q6Q5X2,YDR034W-B
Q07830,GPI13
Q07950,YEH2
Q07953,SDO1
Q07979,RSC58
Q03010,UME1
P53032,SUT1
Q07980,MLH2
Q08176,MIM1
P38985,SRP14
Q08280,BSC6
Q08438,VHS3
P53859,CSL4
Q08491,SKI7
Q02772,PET191
Q08581,SLK19
P43588,RPN11
Q08723,RPN8
Q04062,RPN9
Q12250,RPN5
Q12377,RPN6
P53188,CGR1
Q08746,RRS1
Q08760,RAX1
Q08962,NIP7
P40078,NSA2
P36036,YRA2
Q12008,GPM2
Q12020,SRL2
Q12028,APL4
P35181,APS1
P38817,GGA2
P39526,LAA1
P47160,ENT3
Q12034,SLF1
P11075,SEC7
P39524,DRS2
P53277,SYF2
P38775,YHR045W
Q12091,DAP1
Q12140,BSC1
Q12154,GET3
P53192,GET1
Q12171,MDM32
Q12172,YRR1
Q12176,MAK21
Q12178,FCY1
Q12181,TAH18
P36152,DRE2
Q12189,RKI1
Q12199,TIP41
Q12200,NCR1
P25584,PEX34
Q12038,SRO7
Q12206,WTM2
Q12215,WSC3
Q12220,DIP2
P32590,SSE2
P39976,DLD3
P47039,BNA3
Q02201,OSH6
P32895,PRS1
Q12265,PRS5
P38689,PRS3
P38682,GLO3
Q06096,COG4
Q12277,RRP42
Q12289,CRC1
Q12315,GLE1
Q12324,YVC1
Q05998,THI7
Q12415,TFC7
P38910,HSP10
Q03792,RIM13
Q12434,RDI1
Q12443,RTN2
P39013,END3
Q12447,PAA1
P34221,PTC3
Q12452,ERG27
P38225,FAT1
P38604,ERG7
Q07804,YEH1
Q08215,PEX15
Q12466,TCB1
P35184,SQT1
P38861,NMD3
Q12525,MHT1
Q12675,DNF2
Q12692,HTZ1
Q6WNK7,SUS1
Q92317,NCB2
P40096,BUR6
Q99216,PNO1
Q99260,YPT6
P32864,MRS6
P23301,HYP2
P38791,DYS1
Q03124,RSC9
P32485,HOG1
Q06639,RSC3
P32597,STH1
P47037,SMC3
P32908,SMC1
P40541,IRR1
Q12158,MCD1
Q04264,PDS5
P32334,MSB2
P11792,SCH9
P22141,PRE1
P40303,PRE6
P25043,PUP1
P32379,PUP2
P38624,PRE3
P23638,PRE9
P40302,PRE5
P25451,PUP3
P23639,PRE8
P23724,PRE7
P21243,SCL1
P40029,MXR1
O13559,YRF1-4
P32565,RPN2
O13563,RPN13
O94742,SEM1
P00045,CYC7
P00899,TRP2
P01123,YPT1
P01120,RAS2
Q12383,TRM13
P07286,ALG7
P04046,ADE4
P04387,GAL80
P32450,AUA1
P05085,ARG81
P05373,HEM2
P05374,CHO2
P06100,CDC36
P06244,TPK1
Q04902,SNO4
P06784,STE7
P06786,TOP2
P20051,URA4
P07213,TOM70
P32332,OAC1
P07273,DST1
P07560,SEC4
P07285,TRP4
P31386,ATS1
P06245,TPK2
P08004,CHS1
P07703,RPC40
P47035,NET1
P28000,RPC19
P10964,RPA190
P08536,MET3
P08679,CIT2
P13134,KEX2
P38932,VPS45
Q06810,OPY2
P0CX15,YRF1-7
P53939,NIS1
P0CF34,SDC25
P0CX79,ASP3-4
P09959,SWI6
P10174,COX7
P28496,LAC1
P32340,NDI1
P38751,SHU1
P10963,PCK1
P11433,CDC24
P11632,NHP6A
P07170,ADK1
P12684,HMG2
P12683,HMG1
P12688,YPK1
P38837,NSG1
P12962,CAF20
P43592,FAR7
P13045,GAL3
Q08446,SGT1
P39005,KRE9
P13259,PCT1
P38890,SET5
P13433,RPO41
P13298,URA5
P13517,CAP2
P40209,GAT2
P13574,STE12
P14065,GCY1
P13711,POX1
P28625,YIM1
P34163,TGL1
Q06508,LOA1
P14693,SAM35
P12754,GCD2
P14741,GCN3
P15274,AMD1
P15365,DAL5
P15705,STI1
P15807,MET8
P16370,RPB3
P16467,PDC5
Q07786,SOR2
P16649,TUP1
P14922,CYC8
P17106,CBF1
P17261,ERS1
P17883,SKI3
P22140,EPT1
P18410,SPO7
P42944,GZF3
P19158,IRA2
P19524,MYO2
P19736,PRP9
P32801,ELM1
P19881,PHO13
P19880,YAP1
P38315,YBP1
P20604,SIT4
P20676,NUP1
P21372,PRP5
P21373,UTR1
Q12218,TIR4
P21538,REB1
P33331,NTF2
P21691,SIR1
P22138,RPA135
P22146,GAS1
P23201,SPA2
P23291,YCK1
P23561,STE11
P23900,FPS1
P27476,NSR1
P28007,GAR1
P38801,LRP1
P40040,THO1
Q02825,SEN54
P25045,LCB1
P38615,RIM11
Q12163,NBP2
P14747,CMP2
P25296,CNB1
P36054,RCN1
P25339,PUF4
P25336,MSH3
P25340,ERG4
Q08023,FMP25
P25343,RVS161
P39743,RVS167
P25386,USO1
P25454,RAD51
P53054,YGL262W
P25554,SGF29
Q12157,APC11
P25559,DCC1
P25569,GID7
P25583,KAR4
Q03497,STE20
